iter	Passed	Remaining
0	176	52872
1	343	51121
2	520	51522
3	685	50748
4	913	53902
5	1098	53838
6	1269	53116
7	1453	53045
8	1660	53691
9	1843	53447
10	2019	53060
11	2212	53104
12	2387	52717
13	2567	52444
14	2748	52212
15	2905	51568
16	3073	51171
17	3240	50769
18	3421	50604
19	3590	50265
20	3753	49862
21	3912	49441
22	4116	49577
23	4281	49234
24	4429	48722
25	4624	48730
26	4791	48450
27	4949	48084
28	5119	47845
29	5298	47684
30	5458	47367
31	5609	46978
32	5764	46640
33	5933	46421
34	6103	46215
35	6283	46081
36	6428	45697
37	6609	45571
38	6768	45296
39	6941	45122
40	7102	44865
41	7244	44501
42	7411	44299
43	7556	43962
44	7699	43629
45	7869	43451
46	8039	43277
47	8215	43131
48	8407	43069
49	8589	42949
50	8743	42687
51	8887	42386
52	9027	42073
53	9172	41784
54	9350	41651
55	9501	41400
56	9646	41125
57	9794	40867
58	9953	40658
59	10106	40425
60	10242	40130
61	10443	40089
62	10637	40018
63	10824	39916
64	11027	39867
65	11214	39760
66	11397	39635
67	11548	39399
68	11709	39202
69	11861	38973
70	12008	38731
71	12174	38554
72	12330	38341
73	12513	38217
74	12711	38135
75	12890	37991
76	13058	37819
77	13220	37628
78	13384	37441
79	13555	37276
80	13708	37063
81	13848	36817
82	14002	36609
83	14139	36357
84	14289	36145
85	14456	35972
86	14664	35902
87	14841	35754
88	14996	35554
89	15147	35345
90	15288	35112
91	15437	34902
92	15588	34697
93	15751	34518
94	15918	34349
95	16090	34192
96	16241	33989
97	16391	33786
98	16536	33574
99	16703	33407
100	16853	33206
101	17011	33021
102	17162	32824
103	17310	32623
104	17466	32437
105	17615	32239
106	17772	32057
107	17937	31888
108	18102	31721
109	18249	31522
110	18435	31390
111	18585	31196
112	18741	31015
113	18922	30873
114	19090	30710
115	19246	30529
116	19394	30335
117	19555	30161
118	19699	29963
119	19848	29772
120	19999	29585
121	20154	29405
122	20299	29211
123	20450	29026
124	20609	28853
125	20753	28660
126	20926	28506
127	21083	28331
128	21229	28141
129	21383	27963
130	21527	27772
131	21693	27609
132	21875	27468
133	22053	27319
134	22206	27141
135	22368	26973
136	22523	26798
137	22675	26619
138	22842	26458
139	22978	26260
140	23147	26102
141	23330	25959
142	23468	25766
143	23622	25591
144	23771	25411
145	23912	25222
146	24064	25046
147	24222	24877
148	24377	24704
149	24507	24507
150	24669	24343
151	24823	24170
152	24962	23983
153	25099	23795
154	25256	23626
155	25410	23456
156	25561	23281
157	25713	23110
158	25869	22940
159	26021	22768
160	26158	22584
161	26322	22423
162	26488	22263
163	26640	22092
164	26790	21919
165	26942	21748
166	27110	21591
167	27258	21417
168	27448	21276
169	27606	21111
170	27751	20935
171	27885	20751
172	28024	20573
173	28171	20399
174	28310	20221
175	28453	20046
176	28600	19875
177	28742	19699
178	28895	19532
179	29059	19372
180	29207	19202
181	29370	19042
182	29555	18896
183	29706	18727
184	29870	18567
185	30022	18401
186	30178	18235
187	30345	18078
188	30500	17912
189	30633	17735
190	30840	17600
191	30974	17422
192	31107	17246
193	31255	17077
194	31406	16911
195	31571	16752
196	31729	16589
197	31881	16423
198	32028	16255
199	32185	16092
200	32335	15926
201	32485	15760
202	32633	15593
203	32769	15420
204	32909	15250
205	33048	15080
206	33191	14912
207	33344	14748
208	33488	14580
209	33651	14421
210	33815	14263
211	33963	14097
212	34100	13928
213	34235	13758
214	34385	13594
215	34529	13428
216	34660	13257
217	34845	13106
218	34996	12943
219	35139	12777
220	35282	12612
221	35406	12440
222	35555	12276
223	35703	12113
224	35858	11952
225	35995	11786
226	36139	11622
227	36293	11461
228	36434	11296
229	36611	11142
230	36748	10976
231	36902	10816
232	37042	10651
233	37206	10494
234	37355	10332
235	37502	10170
236	37668	10013
237	37829	9854
238	37974	9692
239	38129	9532
240	38269	9368
241	38417	9207
242	38589	9051
243	38759	8895
244	38911	8735
245	39066	8575
246	39216	8414
247	39383	8257
248	39544	8099
249	39684	7936
250	39836	7776
251	39977	7614
252	40126	7454
253	40265	7292
254	40418	7132
255	40557	6970
256	40691	6808
257	40853	6650
258	40994	6489
259	41135	6328
260	41287	6169
261	41451	6012
262	41577	5849
263	41715	5688
264	41890	5532
265	42067	5376
266	42226	5218
267	42395	5062
268	42542	4902
269	42683	4742
270	42821	4582
271	42968	4423
272	43130	4265
273	43289	4107
274	43438	3948
275	43587	3790
276	43748	3632
277	43930	3476
278	44066	3316
279	44216	3158
280	44370	3000
281	44522	2841
282	44676	2683
283	44822	2525
284	44996	2368
285	45165	2210
286	45304	2052
287	45470	1894
288	45604	1735
289	45765	1578
290	45906	1419
291	46039	1261
292	46208	1103
293	46370	946
294	46511	788
295	46661	630
296	46824	472
297	46984	315
298	47148	157
299	47314	0
